LINK,AUTHOR,CONTENT,REACTIONS,COMMENTS,SHARES
https://www.facebook.com/drmichaelsavage/posts/pfbid02gJ2AGwpHTXMYdDgTnZGW7de5YxsvSXu9tC71ymqQZ4vjwmteC37w5rK1kA82qkH2l,Michael Savage,Trump's Next Moves. Will He Be Able To Get Anything Done? With Miranda Devine of the New York Post - #787,126.0,59.0,15.0
https://www.facebook.com/secureamericanow/posts/pfbid0fpq2rwRfZomDQcviWYPLXP4sg8xcbP91iSLRvujdDFTna4SJogyhytmD4migjG55l,Secure America Now,California Gov. Gavin Newsom called a special session of the California legislature to “Trump-proof” the state against whatever the incoming federal administration intends to do — provoking a rebuke from the President-elect.,300.0,318.0,47.0
https://www.facebook.com/mediaresearchcenter/posts/pfbid02ajXLHhiuphE29cpzBea2cGPNyB8YV3fo5Vc1n1PgBV1r3Hoggr27KDwSqVHcjteyl,Media Research Center,"Columbia University students protested Veterans Day by replacing it with ""Martyr's Day."" ",101.0,34.0,17.0
https://www.facebook.com/pamelageller/posts/pfbid02Pn2gK9HFoMwfL5B4dp99zkJdTTR1TJNR2Jr9BTCGoRmuPverBNPo83jBCiNHVWp4l,Pamela Geller,CIA Official Asif W. Rahman With Top Security Clearance Charged With Leaking Highly Classified Docs to Iran,86.0,6.0,46.0
https://www.facebook.com/TheDallasExpress/posts/pfbid02i9p16yjqm28hhJMcpChVAnnCQH5utojhXGJjb8kpMVp1oAu82SHpAXdTcHx4gikxl,Dallas Express,Newly elected Senate Majority Leader John Thune isn’t messing around when it comes to confirming the Cabinet President-elect Donald Trump wants. ,30.0,7.0,1.0
https://www.facebook.com/Sarah.Fields1836/posts/pfbid02D1Epiv5iSEkSbG979uGKvZ559dde2aCtAiVdSu9zEERQzxC8731KowGsRpfrAThCl,Sarah J Fields,BREAKING: Iran has launched a full scale ballistic missile barrage at Israel.,43.0,30.0,12.0
https://www.facebook.com/ThePostMillennial/posts/pfbid0kDqMiAjRJp1vF1sRvXiriJaZQRL8z3ULofu3oJRempWyAbQ48AcuGVFn5CuUw59dl,The Post Millennial,"""Gold standard"" pollster Ann Selzer to retire after predicting Kamala win",28.0,2.0,4.0
https://www.facebook.com/ToddStarnesFNC/posts/pfbid036d1sYedZqHYMA4rFdjy9tU49KMbL5xTtk7ta5e2thfSqyTQ8gPxFJwYa2Gh9MLujl,,,,,
https://www.facebook.com/MegynKelly/posts/pfbid0pX3yGf37r4LVqjDfMyn5H8Cu9PqKu9dLiZSCBzcwj6tNa4rxx1bbnWe1Eo4XrMkkl,Megyn Kelly,Who can blame Trump for trying to pick the most loyal soldier he can find for this position?,2400.0,584.0,104.0
https://www.facebook.com/mediaresearchcenter/posts/pfbid02mY4Y1Azr3AFMasUEmeriHQZ3JiyBwbRitPBRoNY6zKDhZybwRprpDEKgV7na6jp7l,Media Research Center,The View claimed Pete Hegseth knows nothing about the military and suggested he'll get lost in the Pentagon. ,100.0,61.0,14.0
https://www.facebook.com/photo/?fbid=1108171640667053&set=a.256580385826187,,,37.0,6.0,8.0
https://www.facebook.com/NYPost/posts/pfbid0gKDvPdf4wfonM6vQwBZ9oYWGWTn9HMiF2hSCbjJpGQY7H3HFkitK5ujvmzCGmKVrl,New York Post,"""The cops raided our house, and then P’Nut bit one, like a damn hero.""",158.0,116.0,12.0
https://www.facebook.com/KevinSteeleTV/posts/pfbid082GdHsxDQK2T8i6LSMFftp95eSPnhh8mNhA1MKLvu2w7vofDmCWC7uVCyJi3E8uSl,Kevin Steele,MANSON REVEALS MORE,18.0,6.0,2.0
https://www.facebook.com/permalink.php?story_fbid=pfbid0Q2mrTj4zZbx3TrLqSJiifGa1RmkaLPtdUDdZtKZ3LYf7cQoR9NWngE82Ehdiyeq6l&id=100044196440904,,Some Sundays are more fun than others…,162.0,68.0,15.0
https://www.facebook.com/OutkickTheCoverage/posts/pfbid02ZvnJSxhNUvJ7z5C7H9mAACT43Ni3eiSroix7QNWAwdEyNLMkSjXyCzbJLswT83gol?__cft__[0]=AZXwkejy-kBWmO7kyNCvgLxmCDkgLO7ZO5y7CltVcVMO65DWFnC37YjNA7MOBGBXGK7YyiSa7wYeW9g8Ug1cR3Q1fzqG5jyFsKF9XshFkEGeWrhfsu3kYBz3WgOT_BWwgZH5TpOgQlFHoPgxIyWAR5ievUkVRBQ0E93gA0iaiWqlwv8i46rQy9nNASYhGzyW4-Q&__tn__=%2CO%2CP-R,OutKick,Jon Jones let the world know he's a proud Christian American before handing his title belt to President-Elect Donald Trump at UFC 309.,833.0,80.0,63.0
https://www.facebook.com/ChristianPost.Intl/posts/pfbid02zDGJUmWjfUXzbMdiqvuMEB3cc98ofPQxg7nHPd9qshAKetdohF8ggmfhWQv122Csl,The Christian Post,ICYMI: The former owner of social media sensation Peanut the Squirrel has announced that he plans to file a lawsuit against the New York state officials responsible for the beloved animal’s death. #Peanutthesquirrel #justiceforpeanut #pnut #NewYork #rabies #animalcontrol #animalsanctuary,53.0,7.0,6.0
https://www.facebook.com/MattWalshBlog/posts/pfbid027ZWfbmWAgQRz7yrtvZNtTMk5ZfKazK4ZCkzoVakZV4eTy4JpRyAPgQJ3zMu19DZzl,Matt Walsh,"Oh no. Oh God. I never would have supported Trump if I knew it would lead to this. How can we go on without Eva Longoria? What is the point anymore? Don’t leave us, Eva! Nooooo! https://bit.ly/3UPyuY8",12000.0,3200.0,219.0
https://www.facebook.com/TheFederalistPapers/posts/pfbid02ZU8jcGuG7wgsZY653wiGNM9wcpkbzYvyHJU4CUqZnVSYmxm11FzvLccYT5atiPGQl,,,,,
https://www.facebook.com/lilagracerose/posts/pfbid0y9zrm4NESTfs41UP2ykjEGrsT8eSM8z5Y7yAuZUdUPLAZe8wDfisGzFmhjtrkAEBl,Lila Rose,"Happy Veteran’s Day to everyone who has served and especially to my husband, my favorite veteran of all time 
 Incredibly grateful for your sacrifices, valor and love for our amazing country.",819.0,50.0,9.0
https://www.facebook.com/GlennBeck/posts/pfbid0Vc34zrizNiJbHCyVXUfF8B3MfMxY59vDy6mpFNCwQqZFN5YMnCaFBSBq6UZdFd8Al,Glenn Beck,"OK, Doomer: How to stop the scroll and take control",69.0,6.0,5.0
https://www.facebook.com/lilagracerose/posts/pfbid028A2J13e3tLsYQStiqRRA3noWRnqBrNjQbZWiDnirTecQ7pCfGDrskFuvKcuAuanal,Lila Rose,,383.0,91.0,25.0
